ItemName,ItemPrice,Currency,Category,Vendor,Station,FuelPrice,System,slug
Civ T02-V014-4.80x3-0.075,1575.30,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,standard-multi-stim-v2-2-014
Civ T02-V020-7.20x2-0.1,1575.30,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,minor-multi-stim-v2-1-020
Civ T02-V028-5.25x3-0.05,1584.75,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,strong-multi-stim-v2-3-028
Int T02-V016-9.00-0.075,1528.04,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,standard-intelligence-stim-v12016
Mil T02-V023-5.25x4-0.03,25,bonds,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,strong-military-stim-v33023
Soc T02-V008-10.31-0.1,1537.49,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,minor-social-stim-v21008
Soc T02-V008-11.25-0.05,1546.94,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,strong-social-stim-v23008
Sta T02-V004-9.75-0.05,1534.34,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,strong-stamina-stim-v13004
Str T02-V001-14.06-0.075,1572.15,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,standard-strength-stim-v3-2-001
Str T02-V001-9.75-0.05,1534.34,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,strong-strength-stim-v13001
Antique SMG,2117.20,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,antique-smg
Bell-Bowl Club,1969.12,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,bell-bowl-club
Cadet's Epee,2391.31,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,scabbard
Cylindrical Mineral Sample,3667.30,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,cylindrical-mineral-sample
Docking Anchor,2101.45,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,docking-anchor
Electric Charged Fence Post,5891.62,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,electric-charged-fence-post
Filthy Shotgun,2088.85,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,filthy-shotgun
First Mate’s Input,3582.23,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,first-mates-input
Gaule Protectorate Stun Baton,2441.71,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,gaule-protectorate-stun-baton
Han-Dachi,3629.49,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,han-dachi
Heated Prod,3623.19,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,heated-prod
Jack-Said-No,2214.87,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,jack-said-no
Molybdenum Baston,2281.03,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,molybdenum-baston
Pocket – Pincher,3588.53,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,pocket-pincher
"Remember Me, Sally",2236.93,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,remember-me-sally
Ringmaster's Staff,3575.93,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,ringmasters-staff
Tuck,2155.01,credits,Weapon,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,tuck
Amber Aegis: BD30,20548.21,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,amber-aegis-bd30
Amber Aegis: BD31,20384.38,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,amber-aegis-bd31
Anti-Energy Flak Jacket,2381.85,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,anti-energy-flak-jacket
Anti-Energy Kaftan,2148.71,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,anti-energy-kaftan
Anti-Energy Kataginu,3566.48,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,anti-energy-kataginu
Arc Jumper Jacket,2148.71,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,arc-jumper-jacket
Banded Leather Trench,2381.85,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,banded-leather-trench
Gaule Heavy Combat Suit,1302,bonds,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,gaule-heavy-combat-suit
HoS Leather Jacket,2025.84,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,hos-leather-jacket
Lampyridae Armor,2161.31,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,lampyridae-armor
Metal Banded Electrician's Suit,2252.68,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,metal-banded-electricians-suit
PVC Pipe Suit,2101.45,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,pvc-pipe-suit
Reinforced Diffusion Jacket,2186.52,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,reinforced-diffusion-jacket
Worn Jumpsuit,1969.12,credits,Armor,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,worn-jumpsuit
VIP Pack - 3 days,290,bonds,VIP,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,vip-3
Civ T02-V006-7.20x2-0.075,1575.30,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,standard-multi-stim-v2-2-006
Civ T02-V007-4.80x3-0.075,1575.30,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,standard-multi-stim-v2-2-007
Civ T02-V010-7.88x2-0.05,1584.75,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,strong-multi-stim-v2-3-010
Civ T02-V012-7.20x2-0.1,1575.30,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,minor-multi-stim-v2-1-012
Civ T02-V013-4.80x3-0.075,1575.30,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,standard-multi-stim-v2-2-013
Civ T02-V021-4.80x3-0.075,1575.30,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,standard-multi-stim-v2-2-021
Civ T02-V022-5.25x3-0.05,1584.75,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,strong-multi-stim-v2-3-022
Int T02-V016-15.00-0.05,1578.45,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,strong-intelligence-stim-v3-3-016
Soc T02-V008-14.06-0.075,1572.15,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,standard-social-stim-v3-2-008
Soc T02-V008-15.00-0.05,1578.45,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,strong-social-stim-v3-3-008
Sta T02-V004-10.31-0.075,1537.49,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,standard-stamina-stim-v22004
Sta T02-V004-10.31-0.1,1537.49,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,minor-stamina-stim-v21004
Str T02-V001-10.31-0.1,1537.49,credits,Medical,Brig Commissary,Cirque Centauri,1181.5,Alpha Centauri,minor-strength-stim-v21001
Anti-Energy Trench,860.28,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,anti-energy-trench
Aurorahunter,1785,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,aurorahunter
Caen’s Ribbed Jacket,728,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,caens-ribbed-jacket
Corroded Combat Vest,214.47,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,corroded-combat-vest
Elite Arc Dancer's Suit,4103.80,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,elite-arc-dancers-suit
Elite Diffusion Suit,4380.93,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,elite-diffusion-suit
Elite P3 Energy Suit,6631.63,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,elite-p3-energy-suit
Elite P3 Impact Suit,6554.52,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,elite-p3-impact-suit
Elite P3 Piercing Suit,6525.60,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,elite-p3-piercing-suit
G21 Armor System,4537.56,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,g21-armor-system
Heavy Liquid Armor Suit,4484.54,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,heavy-liquid-armor-suit
Heavy Thermoplastic Suit,1297,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,heavy-thermoplastic-suit
Leather Armor,467.49,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,leather-armor
Light Diffusion Jump Suit,1489.23,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-diffusion-jump-suit
Light Flak Jacket,1631.40,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-flak-jacket
Light Kinetic Vest,1747.07,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-kinetic-vest
Light P3 Energy Suit,2703.74,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-p3-energy-suit
Light P3 Impact Suit,1650.68,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-p3-impact-suit
Light P3 Piercing Suit,2843.51,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-p3-piercing-suit
Light Riot Gear,726,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-riot-gear
Light Scale Mail,853.05,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,light-scale-mail
Lightning Rogue Armor,4286.95,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,lightning-rogue-armor
Medium Flak Jacket,1691.64,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,medium-flak-jacket
Medium Kinetic Vest,2889.29,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,medium-kinetic-vest
Medium Scale Mail,1532.60,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,medium-scale-mail
Medium Thermoplastic Suit,1590.43,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,medium-thermoplastic-suit
Nomad’s Robes,2183,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,nomads-robes
Old Combat Suit,2696.51,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,old-combat-suit
P3 Energy Suit,1807.31,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,p3-energy-suit
P3 Impact Suit,1751.89,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,p3-impact-suit
P3 Piercing Suit,1829.00,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,p3-piercing-suit
P3 Protection Suit,4335.14,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,p3-protection-suit
Reinforced Diffusion Gear,1624.17,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,reinforced-diffusion-gear
Reinforced Dress Coat,1535.01,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,reinforced-dress-coat
Ruins Rat Armor,728,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,ruins-rat-armor
Rusted Cuirass,219.29,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,rusted-cuirass
Scrolled Leather Suit,4262.85,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,scrolled-leather-suit
Shattered Ballistic Vest,209.65,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,shattered-ballistic-vest
Sinclair Battlegear,2983.27,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,sinclair-battlegear
Sinclair Diffusion Battlegear,3149.54,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,sinclair-diffusion-battlegear
Spiked Leather Jacket,1722.97,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,spiked-leather-jacket
Takko Tunic,2427,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,takko-tunic
Thick Plate Armor,1706.10,credits,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,thick-plate-armor
Werebeast Armor,1786,bonds,Armor,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,werebeast-armor
VIP Pack - 3 days,290,bonds,VIP,Sinclair Armaments (?),The Ghost of Mali,860.6,Alpha Centauri,vip-3
Cannon-C56,1477.98,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,cannon-c56
Cylindrical Mineral Sample,2671.38,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,cylindrical-mineral-sample
Juggler’s Sticks,2669.08,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,jugglers-sticks
Naboot,1588.14,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,naboot
Needler Class Combat Rifle,15144.70,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,needler-class-combat-rifle
Skull Mallet,1581.25,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,skull-mallet
Strange Thing,1592.73,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,strange-thing
The Jaded Response,14938.15,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,the-jaded-response
Titanium Maul,2597.94,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,titanium-maul
TravelerC88,1645.51,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,travelerc88
Zeni Espantoon,1709.77,credits,Weapon,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,zeni-espantoon
Anti-Energy Flak Jacket,1735.02,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-flak-jacket
Anti-Energy Kaftan,1565.19,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-kaftan
Anti-Energy Kataginu,2597.94,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-kataginu
Anti-Energy Plate Armor,1542.24,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-plate-armor
Anti-Energy Saree,1595.02,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-saree
Cloak of Many Ripped Pockets,1528.47,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,cloak-of-many-ripped-pockets
Diffusion Dress,1709.77,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,diffusion-dress
Gaule Heavy Combat Suit,1302,bonds,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,gaule-heavy-combat-suit
LCVG-X16a,1489.45,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,lcvg-x16a
Light Diffusion Jump Suit,1418.31,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,light-diffusion-jump-suit
P3 Piercing Suit,1741.90,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,p3-piercing-suit
Plated Poly-vinyl Vest,1477.98,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,plated-poly-vinyl-vest
Reinforced Dress Coat,1461.91,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,reinforced-dress-coat
Spidersilk Concealable Vest,1647.81,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,spidersilk-concealable-vest
Whispering Robes,1533.06,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,whispering-robes
Worn Jumpsuit,1434.38,credits,Armor,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,worn-jumpsuit
VIP Pack - 3 days,290,bonds,VIP,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,vip-3
Civ T02-V007-4.80x3-0.1,1147.50,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,minor-multi-stim-v21007
Civ T02-V018-7.20x2-0.075,1147.50,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,standard-multi-stim-v2-2-018
Civ T02-V019-4.80x3-0.1,1147.50,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,minor-multi-stim-v21019
Civ T02-V020-7.20x2-0.075,1147.50,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,standard-multi-stim-v2-2-020
Civ T02-V020-7.88x2-0.05,1154.38,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,strong-multi-stim-v2-3-020
Civ T02-V025-4.80x3-0.075,1147.50,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,standard-multi-stim-v2-2-025
Civ T02-V025-4.80x3-0.1,1147.50,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,minor-multi-stim-v21025
Civ T02-V026-4.80x3-0.1,1147.50,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,minor-multi-stim-v21026
Int T02-V016-9.00-0.075,1113.08,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,standard-intelligence-stim-v12016
Soc T02-V008-11.25-0.05,1126.85,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,strong-social-stim-v23008
Sta T02-V004-8.25-0.1,1108.48,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,minor-stamina-stim-v11004
Str T02-V001-8.25-0.1,1108.48,credits,Medical,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,minor-strength-stim-v11001
"""Last Longer"" Chew bar, tier 2",117.04,credits,Food,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,last-longer-chew-bar-tier-2
"""Last Longer"" Chew bar, tier 3",227.20,credits,Food,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,last-longer-chew-bar-tier-3
"""Staying Power"" Seltzer, tier 2",98.68,credits,Food,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,staying-power-seltzer-tier-2
"""Staying Power"" Seltzer, tier 3",204.25,credits,Food,Selected Salvage,The Ghost of Mali,860.6,Alpha Centauri,staying-power-seltzer-tier-3
Breakfast Knife,2632.36,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,breakfast-knife
BuzzC7,1691.41,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,buzzc7
Damaged Stun Baton,1443.55,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,damaged-stun-baton
Filthy Shotgun,1521.58,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,filthy-shotgun
GuardC2,1512.40,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,guardc2
Maulstick,1569.78,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,maulstick
Meat Knife,1769.44,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,meat-knife
Old Copper Pipe,2648.43,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,old-copper-pipe
Pocket – Pincher,2614.01,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,pocket-pincher
Rhenium Club,1746.49,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,rhenium-club
Scrumsettler,1578.96,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,scrumsettler
Security Katana,1714.37,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,security-katana
Sharpened Shiv,1569.78,credits,Weapon,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,sharpened-shiv
Anti-Energy Flak Jacket,1735.02,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-flak-jacket
Anti-Energy Kaftan,1565.19,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-kaftan
Anti-Energy Kataginu,2597.94,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-kataginu
Anti-Energy Plate Armor,1542.24,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-plate-armor
Anti-Energy Saree,1595.02,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,anti-energy-saree
Black Mantle Combat System,14963.40,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,black-mantle-combat-system
Heavy Flak Jacket,1523.88,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,heavy-flak-jacket
Light Flak Jacket,1553.71,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,light-flak-jacket
Poly-vinyl Dress,1422.90,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,poly-vinyl-dress
Reinforced Diffusion Gear,1546.83,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,reinforced-diffusion-gear
Spacer’s Ally,1302,bonds,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,spacers-ally
Spidersilk Robes,1590.43,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,spidersilk-robes
Thick Leather Armor,1413.72,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,thick-leather-armor
Tsuba Ring Mail,4284.76,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,tsuba-ring-mail
Worn Repulsion Armor,821.61,credits,Armor,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,worn-repulsion-armor
VIP Pack - 3 days,290,bonds,VIP,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,vip-3
Civ T02-V010-7.88x2-0.05,1154.38,credits,Medical,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,strong-multi-stim-v2-3-010
Civ T02-V013-5.25x3-0.05,1154.38,credits,Medical,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,strong-multi-stim-v2-3-013
Civ T02-V017-7.20x2-0.075,1147.50,credits,Medical,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,standard-multi-stim-v2-2-017
Civ T02-V021-4.80x3-0.075,1147.50,credits,Medical,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,standard-multi-stim-v2-2-021
Civ T02-V024-7.88x2-0.05,1154.38,credits,Medical,Billy Bob's T'riffic Trades,The Ghost of Mali,860.6,Alpha Centauri,strong-multi-stim-v2-3-024
