name,tier,rarity,type,strength-boost,agility-boost,stamina-boost,intelligence-boost,social-boost,base-toxicity,weight,slug,desc
Str T02-V001-10.31-0.1,2,common,Medical,10.31,0,0,0,0,10%,0.03 kg,minor-strength-stim-v21001,A basic strength stim.
Agi T02-V002-14.06-0.075,2,uncommon,Medical,0,14.06,0,0,0,7%,0.03 kg,standard-agility-stim-v3-2-002,A basic agility stim.
Civ T04-V021-10.05x3-0.05,4,rare,Medical,10.05,0,10.05,10.05,0,5%,0.03 kg,strong-multi-stim-v4-3-021,"A civilian stim affecting strength, stamina, and intelligence."
Mil T01-V029-3.62x4-0.03,1,epic,Medical,3.62,0,3.62,3.62,3.62,3%,0.03 kg,standard-military-stim-v22029,"A military stim affecting strength, stamina, social, and intelligence."
Civ T02-V024-7.88x2-0.05,2,rare,Medical,0,0,0,7.88,7.88,5%,0.03 kg,strong-multi-stim-v2-3-024,A civilian stim affecting social and intelligence.
Civ T05-V026-12.67x3-0.1,5,uncommon,Medical,0,12.67,0,12.67,12.67,10%,0.03 kg,minor-multi-stim-v51026,"A civilian stim affecting agility, social, and intelligence."
Str T02-V001-9.00-0.075,2,common,Medical,9,0,0,0,0,7%,0.03 kg,standard-strength-stim-v12001,A basic strength stim.
Civ T02-V014-5.25x3-0.05,2,rare,Medical,0,5.25,5.25,0,5.25,5%,0.03 kg,strong-multi-stim-v2-3-014,"A civilian stim affecting agility, stamina, and social."
Civ T03-V021-6.11x3-0.1,3,rare,Medical,6.11,0,6.11,6.11,0,10%,0.03 kg,minor-multi-stim-v3-1-021,"A civilian stim affecting strength, stamina, and intelligence."
Str T02-V001-11.25-0.05,2,common,Medical,11.25,0,0,0,0,5%,0.03 kg,strong-strength-stim-v23001,A basic strength stim.
Civ T05-V011-13.58x3-0.075,5,common,Medical,13.58,13.58,0,0,13.58,7%,0.03 kg,standard-multi-stim-v5-2-011,"A civilian stim affecting strength, agility, and social."
Civ T05-V028-12.67x3-0.1,5,uncommon,Medical,0,0,12.67,12.67,12.67,10%,0.03 kg,minor-multi-stim-v51028,"A civilian stim affecting stamina, social, and intelligence."
Civ T05-V021-14.89x3-0.05,5,uncommon,Medical,14.89,0,14.89,14.89,0,5%,0.03 kg,strong-multi-stim-v5-3-021,"A civilian stim affecting strength, stamina, and intelligence."
Civ T03-V005-9.82x2-0.075,3,rare,Medical,9.82,0,9.82,0,0,7%,0.03 kg,standard-multi-stim-v3-2-005,A civilian stim affecting strength and stamina.
Mil T05-V029-15.42x4-0.03,5,epic,Medical,15.42,0,15.42,15.42,15.42,3%,0.03 kg,standard-military-stim-v62029,"A military stim affecting strength, stamina, social, and intelligence."
Civ T04-V024-15.08x2-0.05,4,rare,Medical,0,0,0,15.08,15.08,5%,0.03 kg,strong-multi-stim-v4-3-024,A civilian stim affecting social and intelligence.
Civ T04-V012-15.08x2-0.05,4,rare,Medical,0,0,15.08,0,15.08,5%,0.03 kg,strong-multi-stim-v4-3-012,A civilian stim affecting stamina and social.
Civ T05-V012-22.31x2-0.05,5,uncommon,Medical,0,0,22.31,0,22.31,5%,0.03 kg,strong-multi-stim-v5-3-012,A civilian stim affecting stamina and social.
Soc T02-V008-9.75-0.05,2,common,Medical,0,0,0,0,9.75,5%,0.03 kg,strong-social-stim-v13008,A basic social stim.
Civ T02-V010-7.20x2-0.1,2,uncommon,Medical,0,7.2,0,0,7.2,10%,0.03 kg,minor-multi-stim-v2-1-010,A civilian stim affecting agility and social.
Civ T03-V020-9.82x2-0.075,3,rare,Medical,0,0,9.82,9.82,0,7%,0.03 kg,standard-multi-stim-v3-2-020,A civilian stim affecting stamina and intelligence.
Civ T03-V028-6.11x3-0.1,3,rare,Medical,0,0,6.11,6.11,6.11,10%,0.03 kg,minor-multi-stim-v3-1-028,"A civilian stim affecting stamina, social, and intelligence."
Mil T05-V023-14.12x4-0.03,5,epic,Medical,14.12,14.12,14.12,14.12,0,3%,0.03 kg,minor-military-stim-v61023,"A military stim affecting strength, agility, stamina, and intelligence."
Mil T05-V027-16.74x4-0.03,5,epic,Medical,16.74,16.74,0,16.74,16.74,3%,0.03 kg,strong-military-stim-v63027,"A military stim affecting strength, agility, social, and intelligence."
Civ T04-V021-8.32x3-0.1,4,common,Medical,8.32,0,8.32,8.32,0,10%,0.03 kg,minor-multi-stim-v41021,"A civilian stim affecting strength, stamina, and intelligence."
Mil T05-V015-14.12x4-0.03,5,epic,Medical,14.12,14.12,14.12,0,14.12,3%,0.03 kg,minor-military-stim-v61015,"A military stim affecting strength, agility, stamina, and social."
Civ T02-V010-7.88x2-0.05,2,rare,Medical,0,7.88,0,0,7.88,5%,0.03 kg,strong-multi-stim-v2-3-010,A civilian stim affecting agility and social.
Civ T03-V026-7.01x3-0.05,3,common,Medical,0,7.01,0,7.01,7.01,5%,0.03 kg,strong-multi-stim-v3-3-026,"A civilian stim affecting agility, social, and intelligence."
Civ T05-V018-20.33x2-0.075,5,rare,Medical,0,20.33,0,20.33,0,7%,0.03 kg,standard-multi-stim-v5-2-018,A civilian stim affecting agility and intelligence.
Int T02-V016-11.25-0.05,2,common,Medical,0,0,0,11.25,0,5%,0.03 kg,strong-intelligence-stim-v23016,A basic intelligence stim.
Civ T04-V022-8.32x3-0.1,4,common,Medical,0,8.32,8.32,8.32,0,10%,0.03 kg,minor-multi-stim-v41022,"A civilian stim affecting agility, stamina, and intelligence."
Mil T04-V029-11.16x4-0.03,4,epic,Medical,11.16,0,11.16,11.16,11.16,3%,0.03 kg,strong-military-stim-v53029,"A military stim affecting strength, stamina, social, and intelligence."
Civ T03-V017-9.19x2-0.1,3,rare,Medical,9.19,0,0,9.19,0,10%,0.03 kg,minor-multi-stim-v3-1-017,A civilian stim affecting strength and intelligence.
Civ T05-V011-14.89x3-0.05,5,uncommon,Medical,14.89,14.89,0,0,14.89,5%,0.03 kg,strong-multi-stim-v5-3-011,"A civilian stim affecting strength, agility, and social."
Civ T02-V019-5.25x3-0.05,2,rare,Medical,5.25,5.25,0,5.25,0,5%,0.03 kg,strong-multi-stim-v2-3-019,"A civilian stim affecting strength, agility, and intelligence."
Civ T02-V006-7.20x2-0.1,2,uncommon,Medical,0,7.2,7.2,0,0,10%,0.03 kg,minor-multi-stim-v2-1-006,A civilian stim affecting agility and stamina.
Civ T04-V019-8.32x3-0.1,4,common,Medical,8.32,8.32,0,8.32,0,10%,0.03 kg,minor-multi-stim-v41019,"A civilian stim affecting strength, agility, and intelligence."
Civ T03-V014-6.56x3-0.075,3,rare,Medical,0,6.56,6.56,0,6.56,7%,0.03 kg,standard-multi-stim-v3-2-014,"A civilian stim affecting agility, stamina, and social."
Soc T02-V008-15.00-0.05,2,uncommon,Medical,0,0,0,0,15,5%,0.03 kg,strong-social-stim-v3-3-008,A basic social stim.
Mil T03-V029-4.59x4-0.03,3,common,Medical,4.59,0,4.59,4.59,4.59,3%,0.03 kg,minor-military-stim-v31029,"A military stim affecting strength, stamina, social, and intelligence."
Mil T03-V015-4.92x4-0.03,3,common,Medical,4.92,4.92,4.92,0,4.92,3%,0.03 kg,standard-military-stim-v32015,"A military stim affecting strength, agility, stamina, and social."
Civ T05-V017-19.01x2-0.1,5,uncommon,Medical,19.01,0,0,19.01,0,10%,0.03 kg,minor-multi-stim-v5-1-017,A civilian stim affecting strength and intelligence.
Int T02-V016-14.06-0.075,2,uncommon,Medical,0,0,0,14.06,0,7%,0.03 kg,standard-intelligence-stim-v3-2-016,A basic intelligence stim.
Civ T03-V005-9.19x2-0.1,3,rare,Medical,9.19,0,9.19,0,0,10%,0.03 kg,minor-multi-stim-v3-1-005,A civilian stim affecting strength and stamina.
Mil T03-V015-6.24x4-0.03,3,uncommon,Medical,6.24,6.24,6.24,0,6.24,3%,0.03 kg,minor-military-stim-v41015,"A military stim affecting strength, agility, stamina, and social."
Civ T03-V012-9.19x2-0.1,3,rare,Medical,0,0,9.19,0,9.19,10%,0.03 kg,minor-multi-stim-v3-1-012,A civilian stim affecting stamina and social.
Civ T04-V014-10.05x3-0.05,4,rare,Medical,0,10.05,10.05,0,10.05,5%,0.03 kg,strong-multi-stim-v4-3-014,"A civilian stim affecting agility, stamina, and social."
Mil T03-V027-4.59x4-0.03,3,common,Medical,4.59,4.59,0,4.59,4.59,3%,0.03 kg,minor-military-stim-v31027,"A military stim affecting strength, agility, social, and intelligence."
Civ T04-V018-15.08x2-0.05,4,rare,Medical,0,15.08,0,15.08,0,5%,0.03 kg,strong-multi-stim-v4-3-018,A civilian stim affecting agility and intelligence.
Civ T05-V009-20.33x2-0.075,5,rare,Medical,20.33,0,0,0,20.33,7%,0.03 kg,standard-multi-stim-v5-2-009,A civilian stim affecting strength and social.
Civ T04-V003-15.08x2-0.05,4,rare,Medical,15.08,15.08,0,0,0,5%,0.03 kg,strong-multi-stim-v43003,A civilian stim affecting strength and agility.
Civ T05-V009-22.31x2-0.05,5,uncommon,Medical,22.31,0,0,0,22.31,5%,0.03 kg,strong-multi-stim-v5-3-009,A civilian stim affecting strength and social.
Civ T03-V003-10.50x2-0.05,3,common,Medical,10.5,10.5,0,0,0,5%,0.03 kg,strong-multi-stim-v33003,A civilian stim affecting strength and agility.
Agi T02-V002-13.12-0.1,2,common,Medical,0,13.12,0,0,0,10%,0.03 kg,minor-agility-stim-v3-1-002,A basic agility stim.
Mil T03-V027-4.92x4-0.03,3,common,Medical,4.92,4.92,0,4.92,4.92,3%,0.03 kg,standard-military-stim-v32027,"A military stim affecting strength, agility, social, and intelligence."
Civ T02-V005-7.20x2-0.1,2,uncommon,Medical,7.2,0,7.2,0,0,10%,0.03 kg,minor-multi-stim-v21005,A civilian stim affecting strength and stamina.
Agi T02-V002-11.25-0.05,2,common,Medical,0,11.25,0,0,0,5%,0.03 kg,strong-agility-stim-v23002,A basic agility stim.
Mil T05-V023-9.51x4-0.03,5,common,Medical,9.51,9.51,9.51,9.51,0,3%,0.03 kg,minor-military-stim-v51023,"A military stim affecting strength, agility, stamina, and intelligence."
Civ T04-V010-12.45x2-0.1,4,common,Medical,0,12.45,0,0,12.45,10%,0.03 kg,minor-multi-stim-v4-1-010,A civilian stim affecting agility and social.
Civ T04-V018-12.45x2-0.1,4,common,Medical,0,12.45,0,12.45,0,10%,0.03 kg,minor-multi-stim-v4-1-018,A civilian stim affecting agility and intelligence.
Civ T05-V025-12.67x3-0.1,5,uncommon,Medical,12.67,0,0,12.67,12.67,10%,0.03 kg,minor-multi-stim-v51025,"A civilian stim affecting strength, social, and intelligence."
Civ T03-V010-9.19x2-0.1,3,rare,Medical,0,9.19,0,0,9.19,10%,0.03 kg,minor-multi-stim-v3-1-010,A civilian stim affecting agility and social.
Civ T04-V019-9.19x3-0.075,4,uncommon,Medical,9.19,9.19,0,9.19,0,7%,0.03 kg,standard-multi-stim-v4-2-019,"A civilian stim affecting strength, agility, and intelligence."
Civ T02-V013-5.25x3-0.05,2,rare,Medical,5.25,0,5.25,0,5.25,5%,0.03 kg,strong-multi-stim-v2-3-013,"A civilian stim affecting strength, stamina, and social."
Str T02-V001-13.12-0.1,2,common,Medical,13.12,0,0,0,0,10%,0.03 kg,minor-strength-stim-v3-1-001,A basic strength stim.
Civ T03-V005-10.50x2-0.05,3,common,Medical,10.5,0,10.5,0,0,5%,0.03 kg,strong-multi-stim-v33005,A civilian stim affecting strength and stamina.
Sta T02-V004-15.00-0.05,2,uncommon,Medical,0,0,15,0,0,5%,0.03 kg,strong-stamina-stim-v3-3-004,A basic stamina stim.
Civ T04-V011-10.05x3-0.05,4,rare,Medical,10.05,10.05,0,0,10.05,5%,0.03 kg,strong-multi-stim-v43011,"A civilian stim affecting strength, agility, and social."
Civ T03-V028-6.56x3-0.075,3,rare,Medical,0,0,6.56,6.56,6.56,7%,0.03 kg,standard-multi-stim-v3-2-028,"A civilian stim affecting stamina, social, and intelligence."
Mil T01-V023-3.59-3.62-3.65-3.62-0.03,1,epic,Medical,3.59,3.62,3.65,3.62,0,3%,0.03 kg,standard-military-stim-v22023,"A military stim affecting strength, agility, stamina, and intelligence."
Civ T02-V013-4.80x3-0.075,2,uncommon,Medical,4.8,0,4.8,0,4.8,7%,0.03 kg,standard-multi-stim-v2-2-013,"A civilian stim affecting strength, stamina, and social."
Civ T02-V018-7.88x2-0.05,2,rare,Medical,0,7.88,0,7.88,0,5%,0.03 kg,strong-multi-stim-v2-3-018,A civilian stim affecting agility and intelligence.
Civ T02-V013-4.80x3-0.1,2,uncommon,Medical,4.8,0,4.8,0,4.8,10%,0.03 kg,minor-multi-stim-v21013,"A civilian stim affecting strength, stamina, and social."
Civ T02-V007-4.80x3-0.075,2,uncommon,Medical,4.8,4.8,4.8,0,0,7%,0.03 kg,standard-multi-stim-v2-2-007,"A civilian stim affecting strength, agility, and stamina."
Civ T05-V003-19.01x2-0.1,5,uncommon,Medical,19.01,19.01,0,0,0,10%,0.03 kg,minor-multi-stim-v5-1-003,A civilian stim affecting strength and agility.
Civ T04-V013-8.32x3-0.1,4,common,Medical,8.32,0,8.32,0,8.32,10%,0.03 kg,minor-multi-stim-v41013,"A civilian stim affecting strength, stamina, and social."
Mil T01-V027-3.62x4-0.03,1,epic,Medical,3.62,3.62,0,3.62,3.62,3%,0.03 kg,minor-military-stim-v21027,"A military stim affecting strength, agility, social, and intelligence."
Civ T03-V021-6.56x3-0.075,3,rare,Medical,6.56,0,6.56,6.56,0,7%,0.03 kg,standard-multi-stim-v3-2-021,"A civilian stim affecting strength, stamina, and intelligence."
Mil T02-V015-5.25x4-0.03,2,epic,Medical,5.25,5.25,5.25,0,5.25,3%,0.03 kg,strong-military-stim-v33015,"A military stim affecting strength, agility, stamina, and social."
Civ T04-V006-15.08x2-0.05,4,rare,Medical,0,15.08,15.08,0,0,5%,0.03 kg,strong-multi-stim-v4-3-006,A civilian stim affecting agility and stamina.
Civ T02-V010-7.20x2-0.075,2,uncommon,Medical,0,7.2,0,0,7.2,7%,0.03 kg,standard-multi-stim-v2-2-010,A civilian stim affecting agility and social.
Mil T01-V027-3.62-3.61-3.63-3.62-0.03,1,epic,Medical,3.62,3.61,0,3.62,3.63,3%,0.03 kg,standard-military-stim-v22027,"A military stim affecting strength, agility, social, and intelligence."
Civ T05-V007-14.89x3-0.05,5,uncommon,Medical,14.89,14.89,14.89,0,0,5%,0.03 kg,strong-multi-stim-v5-3-007,"A civilian stim affecting strength, agility, and stamina."
Civ T03-V024-10.50x2-0.05,3,common,Medical,0,0,0,10.5,10.5,5%,0.03 kg,strong-multi-stim-v3-3-024,A civilian stim affecting social and intelligence.
Civ T05-V019-14.89x3-0.05,5,uncommon,Medical,14.89,14.89,0,14.89,0,5%,0.03 kg,strong-multi-stim-v5-3-019,"A civilian stim affecting strength, agility, and intelligence."
Civ T02-V019-4.80x3-0.1,2,uncommon,Medical,4.8,4.8,0,4.8,0,10%,0.03 kg,minor-multi-stim-v21019,"A civilian stim affecting strength, agility, and intelligence."
Mil T02-V030-5.25x4-0.03,2,epic,Medical,0,5.25,5.25,5.25,5.25,3%,0.03 kg,strong-military-stim-v33030,"A military stim affecting agility, stamina, social, and intelligence."
Civ T05-V010-20.33x2-0.075,5,rare,Medical,0,20.33,0,0,20.33,7%,0.03 kg,standard-multi-stim-v5-2-010,A civilian stim affecting agility and social.
Civ T04-V010-13.76x2-0.075,4,uncommon,Medical,0,13.76,0,0,13.76,7%,0.03 kg,standard-multi-stim-v4-2-010,A civilian stim affecting agility and social.
Mil T03-V030-4.59x4-0.03,3,common,Medical,0,4.59,4.59,4.59,4.59,3%,0.03 kg,minor-military-stim-v31030,"A military stim affecting agility, stamina, social, and intelligence."
Civ T02-V026-4.80x3-0.075,2,uncommon,Medical,0,4.8,0,4.8,4.8,7%,0.03 kg,standard-multi-stim-v2-2-026,"A civilian stim affecting agility, social, and intelligence."
Civ T02-V003-7.20x2-0.075,2,uncommon,Medical,7.2,7.2,0,0,0,7%,0.03 kg,standard-multi-stim-v2-2-003,A civilian stim affecting strength and agility.
Civ T05-V003-20.33x2-0.075,5,rare,Medical,20.33,20.33,0,0,0,7%,0.03 kg,standard-multi-stim-v5-2-003,A civilian stim affecting strength and agility.
