name,tier,rarity,type,range,hand-to-hand,weapon_type,piercing-damage,impact-damage,energy-damage,accuracy,weight,slug,desc
Tungsten Clava,3,rare,Weapon,Short,Yes,Club,0,0,10.57,0.09,0.42 kg,tungsten-clava,"Small, white hand club of traditional importance to Bordeaux Station."
G-220E,1,uncommon,Weapon,Short,No,Handgun,0,0,3.93,0.083,0.89 kg,g-220e,"Energy round version of the recruit level Gaule Protectorate military firearm, G-220."
Belt Knife,1,common,Weapon,Short,Yes,Blade,1.36,1.55,0,0.067,0.20 kg,belt-knife,"Standard belt knife of Consortium make. The belt knife is celebrated for its affordability, convenience of size, and ease of use."
Kukri,1,rare,Weapon,Short,Yes,Blade,3,2,0,0.05,0.80 kg,kukri,"A knife with a ribbed handle. Perfect for chopping. Older Kukris typically had long and curved blades, but the shape of this one has been adapted somewhat for greater practicality and easier concealment. Nonetheless, it remains as lethally sharp as ever."
Crop DusterV2,2,uncommon,Weapon,Short,No,Handgun,0,9.69,0,0.12,0.83 kg,crop-dusterv2,"The most basic and primitive handgun option that the House of Spartacus offers, the Crop DusterV2 is about as simple as simple can get."
Rascal Rifle,2,epic,Weapon,Short,No,Short Barrel Rifle,0,7,4,0.5,1.30 kg,rascal-rifle,This playfully named short barrel rifle can come in handy when space is limited but power is needed in no short supply.
Soldering Wand,1,rare,Weapon,Short,Yes,Club,0,0,4.32,0.088,0.19 kg,soldering-wand,A long wand which uses heat to break down ship parts.
Spiked and Sparking Knuckledusters,4,rare,Weapon,Short,Yes,Club,0,20.69,1.82,0.67,4.16 kg,spiked-and-sparking-knuckledusters,"Adding injury to injury, someone has jury-rigged a number of energy emitters to this already painful looking fist weapon."
Slug Rifle,1,uncommon,Weapon,Long,No,Rifle,0,3.2,0,0.05,8.30 kg,slug-rifle,"A long-barreled rifle. It has a small magazine and can only fire single shots, but it's accurate and easy to care for."
Freebooter's Chimeric Handgun,4,common,Weapon,Short,No,Handgun,18.49,1.05,0.16,0.44,1.69 kg,freebooters-chimeric-handgun,"A slapdash firearm fashioned from a collection of parts from many different guns, no doubt, the only parts that still worked. Surprisingly effective!"
G-RM,2,common,Weapon,Long,No,Rifle,0,7.93,0,0.17,2.90 kg,g-rm,A rifle commonly used by Inspectors of the Gaule Protectorate.
The Blazer,2,epic,Weapon,Long,No,Rifle,4.17,0.07,9.01,0.33,3.38 kg,the-blazer,A series of guns rumored to have been crafted by a mad engineer out in the ruins of Bordeaux Station with a penchant for pain with an element of fiery surprise as well as a quirky approach to branding.
Eclipse Wakizashi,3,common,Weapon,Short,Yes,Blade,11.44,0,0,0.247,1.10 kg,eclipse-wakizashi,"The short, sharp, slightly curved blade is said to sing as it swings through air."
Graphite Demise,5,common,Weapon,Long,No,Shotgun,25.3,0,0,0.56,6.31 kg,graphite-demise,A sleek and almost regocrete colored anti-personnel shotgun designed by the Yasutsuna Corp and branded towards mercenaries and private military organizations.
Wrecked Short Barrel,2,rare,Weapon,Short,No,Short Barrel Rifle,0,4.91,0,0.112,2.00 kg,wrecked-short-barrel,"Found in the wake of a collapsed mine, this short barrel rifle doesn’t seem like it should fire, but it does."
Killing Moon,3,common,Weapon,Long,No,Shotgun,0,0,11.6,0.162,3.50 kg,killing-moon,A wide barrel shotgun that supplies a chaff blast when fired.
Zeni Espantoon,2,common,Weapon,Short,Yes,Club,0,0,8.3,0.08,3.20 kg,zeni-espantoon,Ornate rod carried by the Consortium prison guards of Jump Gates while on duty.
Sandman's Knuckles,3,uncommon,Weapon,Short,Yes,Club,0,0,15.08,0.17,4.96 kg,sandmans-knuckles,"This heavy baton delivers a heavy jolt of electricity with every strike. The HWT marketing division brands it as, ""To smack, perchance to dream."""
Killjoy,1,epic,Weapon,Long,No,Rifle,0,5.94,0,0.195,2.80 kg,killjoy,"This carbine assault rifle is a favorite among both up-and-coming cadets, and business casual mercenaries. With a variety of damage types to choose from, most Killjoy owners find the gun vital to complete a look of intended intimidation."
Epee,2,common,Weapon,Short,Yes,Blade,7.86,0,0,0.08,1.09 kg,epee,A long thin sharp-pointed sword for thrusting. The blunted sides are excellent for parrying.
G-YoGE,2,uncommon,Weapon,Short,No,Short Barrel Rifle,0,0,9.15,0.094,2.60 kg,g-yoge,A furious energy SMG used by the Gaule Protectorate.
Joltkeeper,4,rare,Weapon,Short,Yes,Club,0,17.99,4.4,0.19,3.02 kg,joltkeeper,A well balanced mace crafted with high quality alloys and able to deliver a jolt of energy upon impact.
Stun Stick,1,common,Weapon,Short,Yes,Club,0,0,1.74,0.088,0.80 kg,stun-stick,Stun stick used by Consortium security.
Ship Breaker's Multitool,1,uncommon,Weapon,Short,Yes,Club,0,0,3.32,0.015,0.48 kg,ship-breakers-multitool,This multi-tool is used by ship breakers to disconnect pieces of the interior ship computing systems. Has a soldering function that can badly burn on contact. A fine weapon.
EntrepreneurC481,1,rare,Weapon,Short,No,Handgun,0,4.26,0,0.06,0.83 kg,entrepreneurc481,"A mainstay in the personal arsenal of the average taxpaying Consortium citizen, this standard weapon of defense is tried-and-true."
DZ Shock Knuckles,3,rare,Weapon,Short,Yes,Club,0,0,10.31,0.225,0.50 kg,dz-shock-knuckles,Stun knuckles used by agents of the Consortium DZ.
Golden Sunset Series Sniper Rifle,4,epic,Weapon,Long,No,Sniper Rifle,20.61,5.62,0.49,0.1,6.08 kg,golden-sunset-series-sniper-rifle,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Antique SMG,2,common,Weapon,Short,No,Short Barrel Rifle,0,6.69,0,0.088,3.00 kg,antique-smg,The owner of this beloved SMG is long gone. Probably destroyed by the Catastrophe.
Consortium Jian,2,common,Weapon,Short,Yes,Blade,6.95,0,0,0.196,0.79 kg,consortium-jian,A fine officer’s sword of the straight blade fashion. Crafted by Yasutsuna Corp.
X25 Deadeye,5,common,Weapon,Long,No,Sniper Rifle,9.75,10.74,3.32,0.24,5.83 kg,x25-deadeye,A long and deadly weapon that delivers its painful payload in short bursts of rapid fire.
Black Piercer: Blaster Series,3,common,Weapon,Short,No,Handgun,0,0,14.01,0.2,1.69 kg,black-piercer-blaster-series,A fairly common weapon among the Freebooters of the Apples of Discord. This blaster is designed with explosive ordnance.
Pipe with Grip,1,common,Weapon,Short,Yes,Club,0,2.52,0,0.5,2.90 kg,pipe-with-grip,Someone outfitted this pipe with a grip for melee use.
Bewm Bewm,1,common,Weapon,Long,No,Shotgun,0,2.41,0,0.038,3.10 kg,bewm-bewm,"Assembled from a variety of unusual, scavenged parts, the craftsmanship of this shotgun proves that the pieces used were anything but arbitrary. Someone put it together with love. The words ‘Bewm Bewm’ are etched in the stock next to the image of a smile."
Starfish Kris,1,rare,Weapon,Short,Yes,Blade,4.5,0,0,0.041,0.45 kg,starfish-kris,A twisted dagger with a star on the hilt.
Training Nightstick,1,uncommon,Weapon,Short,Yes,Club,0,3.11,0,0.056,0.70 kg,training-nightstick,A basic nightstick used in Consortium training.
Tesla Hammer,1,rare,Weapon,Short,Yes,Club,0,2.5,2,0.1,1.50 kg,tesla-hammer,A shock generator is concealed in the head of this long-handled hammer.
Sword of Many Truths,3,common,Weapon,Short,Yes,Blade,12.13,0,0,0.166,1.00 kg,sword-of-many-truths,A splendid katana that tends to find its way to the right side of most any argument.
Bagh Naka,2,common,Weapon,Short,Yes,Club,0,0,6.63,0.072,0.40 kg,bagh-naka,"Designed to fit over the hand, this claw-like hand weapon is used less for cutting or scraping, and more for connecting to, and putting an electric charge in, a melee opponent."
BuzzC7,2,common,Weapon,Long,No,Rifle,0,0,8.04,0.159,3.20 kg,buzzc7,"Discreet and efficient; in the right hands, this rifle is deadly."
Stirring Stick,1,epic,Weapon,Short,Yes,Club,0,0,6.05,0.168,0.48 kg,stirring-stick,Paddle-shaped utensil used in the stirring of noodles while cooking. Features a heating element attached to the wide steel end.
OfficerC3,1,common,Weapon,Short,No,Short Barrel Rifle,0,0,1.96,0.097,2.20 kg,officerc3,"An upgrade from the OfficerC2, this SMG provides better accuracy through better design."
Golden Sunset Series Automatic Rifle,5,epic,Weapon,Short,No,Short Barrel Rifle,2.11,2.06,26.79,0.61,6.41 kg,golden-sunset-series-automatic-rifle,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Copper Wire Knuckles,1,common,Weapon,Short,Yes,Club,0,0,1.83,0.006,0.32 kg,copper-wire-knuckles,Homemade knuckles made from woven copper wiring.
Pointmaker of Perleone,3,common,Weapon,Short,Yes,Club,10.5,3.8,0,0.17,1.20 kg,pointmaker-of-perleone,"Embrace the scarcity and be one with a weapon that demands respect. Low-tech, high-pain. A favorite of the citizen Perleone."
Goram,2,epic,Weapon,Long,No,Rifle,0,0,11.59,0.26,3.50 kg,goram,"You may rightly think, “A reinforced flamethrower must not have much use in an oxygen controlled environment like a space station, right?” but you’d be wrong. There’s always a use for a Goram Flamethrower. Just takes a little creative thinking, is all."
F.O.T.S Line Combat Sledge,5,common,Weapon,Short,Yes,Club,0,21.94,2.09,0.5,4.21 kg,fots-line-combat-sledge,The Fried on the Side line of weaponry by HWT is a sleek and high quality range of melee weapons infused with energy based nanotech to add just a little sizzle to your slice (or smash).
Dawn’s Departure,2,epic,Weapon,Long,No,Sniper Rifle,15.75,0,0,0.73,6.16 kg,dawns-departure,"Boasting a CORETECHS-linked digital scope and sleek design, this unassuming sniper rifle can eliminate a target on the other side of the Ruins. Its comforting weight is reminiscent of days past."
G-73,1,uncommon,Weapon,Long,No,Sniper Rifle,0,4.25,0,0.126,11.20 kg,g-73,A beginner’s sniper rifle issued and used by the Gaule Protectorate. Usually regarded as a target practice gun.
Rusty Iron Baton,1,common,Weapon,Short,Yes,Club,0,0,2.77,0.156,1.00 kg,rusty-iron-baton,"This Consortium baton is so old, it has begun to rust."
Alpha Prime,3,common,Weapon,Short,Yes,Blade,11.37,0,0,0.209,1.40 kg,alpha-prime,A katana designed for the overcoming of seemingly impossible odds.
Ruby Kiss Long Range Blaster,3,rare,Weapon,Long,No,Sniper Rifle,0,0,16.68,0.06,7.97 kg,ruby-kiss-long-range-blaster,"A blaster rifle for the warrior poet. Gift your foes with a fiery hail of death from this sleek instrument of blessed mayhem, designed for your pleasure by the weaponsmiths of the Yasutsuna Corporation."
Ragtag Handgun,1,common,Weapon,Short,No,Handgun,0,0,0.44,0.071,0.79 kg,ragtag-handgun,"A mess of scavenged parts, this handgun has somehow been modified to discharge electric rounds."
New Notthingham Tipstaff,1,uncommon,Weapon,Short,Yes,Club,0,4.03,0,0.016,0.29 kg,new-notthingham-tipstaff,Short-rod hand-club with a bulge of mass and weight at either end. This weapon is favored among the seasoned ship-breakers of København.
TravelerMixC88,2,epic,Weapon,Long,No,Shotgun,0,8.06,3.77,0.068,3.30 kg,travelermixc88,"Similar in make to the Consortium tactical shotgun, Traveler88, this model features an energy shot."
Carby,1,common,Weapon,Short,No,Short Barrel Rifle,0,1.68,0,0.041,2.40 kg,carby,A short carbine SMG that has been cobbled together from whatever parts could be found.
Scrumsettler,2,common,Weapon,Short,Yes,Club,0,0,6.93,0.138,0.20 kg,scrumsettler,A pair of stun-knuckles favored by smugglers to find a quick end to disagreements.
Ruby Kiss Short Blaster Rifle,3,rare,Weapon,Short,No,Short Barrel Rifle,5.47,5.43,5.43,0.52,2.15 kg,ruby-kiss-short-blaster-rifle,"A blaster rifle for the warrior poet. Gift your foes with a fiery hail of death from this sleek instrument of blessed mayhem, designed for your pleasure by the weaponsmiths of the Yasutsuna Corporation."
Kyarr Sun,2,common,Weapon,Short,Yes,Blade,6.51,0,0,0.081,1.30 kg,kyarr-sun,"A custom created sword for the Kyarr, glimmers of goldfleck."
Battle Blade: Trailblazing Blazers,3,epic,Weapon,Short,Yes,Blade,13.54,0,4.66,0.25,2.96 kg,battle-blade-trailblazing-blazers,A combination melee/energy dagger and part of a range built for durability on the frontiers of civilised space.
F.O.T.S Line Combat Mace,5,common,Weapon,Short,Yes,Club,0,6.55,19.84,0.65,4.84 kg,fots-line-combat-mace,The Fried on the Side line of weaponry by HWT is a sleek and high quality range of melee weapons infused with energy based nanotech to add just a little sizzle to your slice (or smash).
Old SMG,2,common,Weapon,Short,No,Short Barrel Rifle,0,0,6.14,0.088,2.90 kg,old-smg,"Found in the ruins, this SMG is functional."
Respectable Wakizashi,2,epic,Weapon,Short,Yes,Blade,11.96,0,0,0.186,1.00 kg,respectable-wakizashi,"Although tarnished, this sword seems able to inflict great damage."
G-PS1,2,uncommon,Weapon,Long,No,Shotgun,0,9.34,0,0.044,3.20 kg,g-ps1,A tactical shotgun commonly used by the Gaule Protectorate field marshals.
Holistic Handcannon,5,common,Weapon,Short,No,Handgun,19.92,1.08,3.11,0.54,0.56 kg,holistic-handcannon,An extended muzzle gives this handgun extra firepower and the sight taken from a sniper rifle presumably allows one to see 'the big picture.'
Ballistic Blazer: HWT Range,1,epic,Weapon,Long,No,Shotgun,0,4.73,2.41,0.19,2.96 kg,ballistic-blazer-hwt-range,A combination ballistic/energy shotgun developed by Hephaestus Weapon Tech.
GX65 Blaster Rifle: Firefox Edition,4,uncommon,Weapon,Long,No,Rifle,11.95,2.29,7.36,0.66,1.41 kg,gx65-blaster-rifle-firefox-edition,The GX65 line is the Yasutsuna Corps foray into situational strategy firearms. Each type of weapon designed to appeal to a specific type of combatant.
Illuminated Spade,3,common,Weapon,Short,Yes,Club,0,8.43,4.32,0.135,3.00 kg,illuminated-spade,This digging tool features illumination at the edges of the shovel bell for use of workers in low-light conditions.
Furnace Pistol,1,common,Weapon,Short,No,Handgun,0,0,2,0.05,1.00 kg,furnace-pistol,A compact energy pistol with a heavy battery.
Bullet Burster Series Long Range Rifle,2,epic,Weapon,Long,No,Sniper Rifle,0,10.39,3.56,0.22,5.89 kg,bullet-burster-series-long-range-rifle,"HWT's Bullet Burster series adds a little sparkling insult to injury as the ordinance for these weapons is infused with thermodynamic nanotechnology, resulting in a small and aesthetically pleasing explosion at the point of impact."
Regocrete Pin,1,common,Weapon,Short,Yes,Club,0,1.51,0,0.058,2.40 kg,regocrete-pin,A club-sized pin of regocrete.
Machete,5,epic,Weapon,Short,Yes,Blade,5,5,20,0.169,1.70 kg,machete,Machetes are very popular on Estación de Amazon to cut through the thick brush of the Ruins.
Tenderizer,2,common,Weapon,Long,No,Rifle,0,8.72,0,0.186,3.00 kg,tenderizer,"A fancy custom rifle, crafted for Sinclair Biomeats employees. Often gifted when milestones are met."
Électrique La Vie,2,common,Weapon,Short,No,Handgun,0,0,6.87,0.116,0.78 kg,electrique-la-vie,Projectile stun weapon used commonly on Nouveau Limoges for self-defense.
Blue Steel,5,epic,Weapon,Short,No,Short Barrel Rifle,24.48,5.01,1.72,0.58,1.84 kg,blue-steel,A ridiculously good looking short barrel rifle out of Yasutsuna Corp’s line of luxury weapons.
Pip,3,epic,Weapon,Short,Yes,Blade,4,10,4,0.265,2.10 kg,pip,"Pip is a hand crafted leather knuckle-cover with long, razor sharp blades protruding out from it. Whoever made this was a true artist. Do not underestimate Pip."
Juggler’s Sticks,2,uncommon,Weapon,Short,Yes,Club,0,0,9.84,0.18,0.11 kg,jugglers-sticks,"These light titanium sticks are designed with side handles, making them look like a fine pair of tonfa."
X25 Burst Blaster,5,common,Weapon,Short,No,Handgun,3.82,0,21.24,0.47,1.08 kg,x25-burst-blaster,A small but deadly weapon that delivers its painful payload in short bursts of rapid fire.
RepeaterC2,2,common,Weapon,Long,No,Rifle,0,6.37,0,0.163,3.00 kg,repeaterc2,A carbine assault rifle used by the Consortium Jump Gate guards at customs.
Golden Sunset Series Com-Bat Mark II,3,epic,Weapon,Short,Yes,Club,0,7.43,10.61,0.17,4.27 kg,golden-sunset-series-com-bat-mark-ii,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Real Red Refusé,2,common,Weapon,Short,No,Handgun,0,7.34,0,0.132,0.92 kg,real-red-refuse,"A small, stylish handgun custom made in red alloy."
Basic Club,1,common,Weapon,Short,Yes,Club,0,2.91,0,0.001,1.20 kg,basic-club,A handcrafted club found in the ruins of Tau Station.
Pirate's Penance: Scoped Assault Rifle,3,common,Weapon,Long,No,Rifle,0,13.6,0,0.49,3.94 kg,pirates-penance-scoped-assault-rifle,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
Maulstick,2,common,Weapon,Short,Yes,Club,0,0,6.89,0.098,0.90 kg,maulstick,"A laser-guide tool used by artists to support their hand while making fine adjustments, this Maulstick could find a fine use as a bludgeoning weapon."
X25 Burst Rifle: Mark II.V,5,common,Weapon,Short,No,Short Barrel Rifle,0.39,13.66,10.66,0.52,5.79 kg,x25-burst-rifle-mark-iiv,A short and deadly weapon that delivers its painful payload in short bursts of rapid fire. This version is a further improvement upon the improvement on the original design.
The D.D.D,4,common,Weapon,Short,Yes,Club,0,1.4,18.86,0.48,3.95 kg,the-ddd,The Dissident Dispersal Device is a line of stun batons designed by the house of Spartacus and marketed towards Consortium and Guale Protectorate peacekeeping forces.
Basic Blackjack,1,common,Weapon,Short,Yes,Club,0,2.15,0,0.012,0.80 kg,basic-blackjack,"A simple melee hand club, the blackjack is commonly used by  the Gaule Protectorate recruits."
Bowie knife,1,common,Weapon,Short,Yes,Blade,2.25,0,0,0.15,0.40 kg,bowie-knife,"A knife with a thick, long blade. A good thrust could gut a person."
Ringmaster's Staff,2,uncommon,Weapon,Short,Yes,Club,0,9.3,0,0.149,2.30 kg,ringmasters-staff,"A novelty item quarter-staff walking stick. The titanium nob makes for an excellent weapon when the staff is swung during a conflict. A souvenir from Cirque Centauri, the words 'Greatest Show in the Galaxy' are etched down its length."
Filament Knuckle Wrap,2,common,Weapon,Short,Yes,Club,0,0,8.13,0.122,0.40 kg,filament-knuckle-wrap,"This discarded filament thread was once used by a musician specializing in a stringed instrument. Has an energy charge that relaxes the muscles on contact. Great for hands, not so great for faces. Remember to keep that grip!"
Aged Stun Baton,1,common,Weapon,Short,Yes,Club,0,0,1.63,0.001,0.70 kg,aged-stun-baton,An older model stun baton once used by Consortium security forces. The age is evident from the wear. This was not an idle weapon in its heyday.
Serval’s Leap,1,epic,Weapon,Long,No,Rifle,0,9.8,0,0.61,3.91 kg,servals-leap,"Attacking enemies with a powerful blast, this high-power weapon penetrates an opponents defenses as if they were rodents ready for slaughter."
"Weird, Broken Handle",1,common,Weapon,Short,Yes,Club,0,0,2.87,0.112,0.09 kg,weird-broken-handle,A 3D printed handle to something long gone. Makes for a decent knuckle wrap in the unfortunate case of a scrum. Sparks on impact.
Diamond Walking Stick,3,rare,Weapon,Short,Yes,Club,0,0,10.98,0.196,1.40 kg,diamond-walking-stick,"Crafted to be flashy, this walking stick can deliver a devastating blow."
Independence et Liberté,2,common,Weapon,Short,Yes,Blade,7.5,0,0,0.086,0.68 kg,independence-et-liberte,"A small knife crafted of sharpened ruins-sourced bone, with the blade set into a handle of carved rock. Independence et Liberté is etched into the rock. This is the weapon of choice for the growing resistance against the Gaule Protectorate government."
Jury Rigged Longeye,3,common,Weapon,Long,No,Sniper Rifle,0,0,14.31,0.52,5.08 kg,jury-rigged-longeye,"Somebody has apparently upgraded this sniper rifle to fire bursts of pure energy. The design seems crude, yet highly effective!"
Freebooter's Chimeric Blaster Rifle,4,common,Weapon,Long,No,Rifle,17.36,1.28,0.1,0.21,4.54 kg,freebooters-chimeric-blaster-rifle,"A slapdash firearm fashioned from a collection of parts from many different guns, no doubt, the only parts that still worked. Surprisingly effective!"
Ionized Shiv,3,uncommon,Weapon,Short,Yes,Blade,5.06,5.11,5.13,0.38,0.52 kg,ionized-shiv,A crude implement of pain developed during a moment of hasty and inebriated inspiration by a Scientist Schismatic about to partake in a barroom brawl.
Broken Slate,1,common,Weapon,Short,Yes,Club,0,0,2.98,0.019,0.11 kg,broken-slate,"Someone badly abused this poor little slate and with its internal mechanics fried, it’s good for little more than using it to bludgeon others."
G-PS8E,2,common,Weapon,Short,No,Handgun,0,0,8.86,0.133,0.84 kg,g-ps8e,This hand gun is trusted by the Gaule Protectorate military as an excellent off-duty weapon for recruits.
Cylindrical Mineral Sample,2,uncommon,Weapon,Short,Yes,Club,0,0,9.87,0.2,1.27 kg,cylindrical-mineral-sample,"This long, thin core of cut mineral was once collected to analyze. Long since discarded, the photon measuring instruments are still attached and may do some damage if used as a blunt weapon."
Caracal's Fang,3,common,Weapon,Short,Yes,Blade,12.85,0,0,0.47,1.49 kg,caracals-fang,"A sleek blade of complex and lethal design. Allegedly developed for combat by the secretive Caracals of the House of Congo. These blades are rare and, usually, one only gets a single look at them."
L33T Long Range Blaster,3,common,Weapon,Long,No,Sniper Rifle,4.64,4.69,4.64,0.26,3.20 kg,l33t-long-range-blaster,Privately printed black market guns used by juvenile gangs of the Apples of Discord to enforce their smuggling routes.
G-SAG1,2,epic,Weapon,Long,No,Shotgun,0,11.44,0,0.161,3.40 kg,g-sag1,Shotgun used by SAG operatives during extraction missions.
Solemn Sunset Series Blaster Rifle,3,epic,Weapon,Long,No,Rifle,0,0,17.08,0.44,4.59 kg,solemn-sunset-series-blaster-rifle,A sleek blaster designed by the House of Spartacus. The marketing slogan reads: Honor thy enemy. A fiery bullet ushers in their final sunset.
Citrine Gauss Rifle,5,epic,Weapon,Long,No,Rifle,0,34.81,0,0.68,7.69 kg,citrine-gauss-rifle,"The mass driver's coils send projectiles flying at speeds hitherto unexpected. The destructive power of this rifle has made it the Special Artefacts Group's target, although they have yet to obtain one and confirm its artefact status."
Needler Class Tactical Shotgun Mark III,5,epic,Weapon,Long,No,Shotgun,26.15,3.92,0,0.22,7.52 kg,needler-class-tactical-shotgun-mark-iii,"A weapon designed by House of Spartacus weapons marketing divisions and aimed at elite clientele. Even the deadly, armor piercing ordnance, for some reason, has been dyed a sleek and pleasant purple color."
Pirate's Penance Short Barrel Rifle,3,common,Weapon,Short,No,Short Barrel Rifle,0,10.63,2.23,0.25,2.48 kg,pirates-penance-short-barrel-rifle,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
Citrine Baton,5,epic,Weapon,Short,Yes,Club,0,0,33.56,0.88,2.73 kg,citrine-baton,"This unassuming yellow-and-black baton boasts power that overshadows even the Department Z's most powerful weapons. Though it's relatively heavy, its streamlined shape makes it easy to to wield."
Caracal's Hiss,3,common,Weapon,Short,No,Handgun,4.2,4.13,4.13,0.44,1.74 kg,caracals-hiss,"A sleek blaster of complex and lethal design. Allegedly developed for combat by the secretive Caracals of the House of Congo. These guns are rare and, usually, one only gets a single look at them."
Carnelian Pistol,3,epic,Weapon,Short,No,Handgun,0,0,21.8,0.6,1.74 kg,carnelian-pistol,"Once this bright weapon emerges in a fight, there's no going back. Its rapid firing gives sharpshooters an edge in all sorts of situations."
Old Copper Pipe,2,uncommon,Weapon,Short,Yes,Club,0,0,9.62,0.241,1.36 kg,old-copper-pipe,"This old water filtration pipe has not seen proper use in ages. With a grounding wrap for gripping, and a battery charge attached via inlay, it can give quite the shock to anyone it strikes."
